name,dob,nationality,position,team,age_years,is_gk,season,league_code,player_id_fb
gabriel avalos,1990,py PAR,FW,Independiente,33.0,False,2024,ARG1,
gabriel carabajal,1991,ar ARG,"MF,FW",Newell's OB,32.0,False,2024,ARG1,
gabriel compagnucci,1991,ar ARG,"DF,MF",Belgrano,32.0,False,2024,ARG1,
gabriel diaz,2000,ar ARG,DF,Sarmiento,23.0,False,2024,ARG1,
gabriel gudino,1992,ar ARG,"MF,FW",Sarmiento,31.0,False,2024,ARG1,
gabriel hachen,1990,ar ARG,"MF,FW",Platense,33.0,False,2024,ARG1,
gabriel hauche,1986,ar ARG,"MF,FW",Sarmiento,37.0,False,2024,ARG1,
gabriel neves,1997,uy URU,"MF,FW",Independiente,26.0,False,2024,ARG1,
gabriel rojas,1997,ar ARG,"DF,MF",Racing Club,26.0,False,2024,ARG1,
galvan vittar,2004,ar ARG,FW,Cen. Córdoba–SdE,19.0,False,2024,ARG1,
gary medel,1987,cl CHI,"DF,MF",Boca Juniors,36.0,False,2024,ARG1,
gaspar duarte,2003,ar ARG,"FW,MF",Rosario Central,21.0,False,2024,ARG1,
gaston benavidez,1995,ar ARG,DF,Talleres,28.0,False,2024,ARG1,
gaston benedetti,2001,ar ARG,DF,Estudiantes–LP,22.0,False,2024,ARG1,
gaston campi,1991,ar ARG,DF,San Lorenzo,32.0,False,2024,ARG1,
gaston emanuel moreyra,1999,ar ARG,MF,Godoy Cruz,24.0,False,2024,ARG1,
gaston gil romero,1993,ar ARG,MF,Ind. Rivadavia,30.0,False,2024,ARG1,
gaston gomez,1996,ar ARG,GK,San Lorenzo,27.0,True,2024,ARG1,
gaston lodico,1998,ar ARG,MF,Instituto,25.0,False,2024,ARG1,
gaston martirena,2000,uy URU,"DF,MF",Racing Club,24.0,False,2024,ARG1,
gaston sauro,1990,ar ARG,DF,Sarmiento,33.0,False,2024,ARG1,
gaston suso,1991,ar ARG,DF,Platense,32.0,False,2024,ARG1,
gaston veron,2001,ar ARG,"FW,MF",Arg Juniors,22.0,False,2024,ARG1,
german conti,1994,ar ARG,"DF,MF",Racing Club,29.0,False,2024,ARG1,
german pezzella,1991,ar ARG,DF,River Plate,32.0,False,2024,ARG1,
geronimo heredia,2005,ar ARG,"MF,DF",Belgrano,18.0,False,2024,ARG1,
geronimo montivero,2005,ar ARG,DF,Godoy Cruz,18.0,False,2024,ARG1,
geronimo rivera,2003,ar ARG,"FW,MF",Banfield,20.0,False,2024,ARG1,
gian nardelli,2000,ar ARG,DF,Tigre,23.0,False,2024,ARG1,
gianluca ferrari,1997,ar ARG,DF,Atlé Tucumán,26.0,False,2024,ARG1,
gino peruzzi,1992,ar ARG,DF,Atlé Tucumán,31.0,False,2024,ARG1,
giovani chiaverano,2005,ar ARG,"FW,MF",Newell's OB,18.0,False,2024,ARG1,
giovanni bogado,2001,py PAR,FW,Rosario Central,22.0,False,2024,ARG1,
giuliano cerato,1998,ar ARG,DF,Instituto,25.0,False,2024,ARG1,
gonzalo abrego,2000,ar ARG,MF,Godoy Cruz,24.0,False,2024,ARG1,
gonzalo alvez,2003,ar ARG,"FW,MF",Ind. Rivadavia,20.0,False,2024,ARG1,
gonzalo bravo,1990,ar ARG,"MF,FW",Deportivo Riestra,33.0,False,2024,ARG1,
gonzalo goni,1998,ar ARG,DF,Barracas Central,25.0,False,2024,ARG1,
gonzalo lujan,2001,ar ARG,DF,San Lorenzo,22.0,False,2024,ARG1,
gonzalo marinelli,1989,ar ARG,GK,Ind. Rivadavia,34.0,True,2024,ARG1,
gonzalo maroni,1999,ar ARG,"MF,FW",Tigre,24.0,False,2024,ARG1,
gonzalo morales,2003,ar ARG,"FW,DF",Unión,20.0,False,2024,ARG1,
gonzalo nicolas martinez,1993,ar ARG,"MF,FW",River Plate,30.0,False,2024,ARG1,
gonzalo perez,2001,uy URU,"MF,DF",Lanús,23.0,False,2024,ARG1,
gonzalo requena,2003,ar ARG,DF,Instituto,20.0,False,2024,ARG1,
gonzalo rios,1999,ar ARG,"MF,FW",Ind. Rivadavia,25.0,False,2024,ARG1,
gonzalo trindade,2004,ar ARG,DF,Cen. Córdoba–SdE,19.0,False,2024,ARG1,
gregorio rodriguez,2000,ar ARG,"FW,MF",Instituto,24.0,False,2024,ARG1,
guido carrillo,1991,ar ARG,FW,Estudiantes–LP,32.0,False,2024,ARG1,
guido herrera,1992,ar ARG,GK,Talleres,31.0,True,2024,ARG1,
guido mainero,1995,ar ARG,"FW,MF",Platense,28.0,False,2024,ARG1,
guillermo acosta,1988,ar ARG,MF,Atlé Tucumán,35.0,False,2024,ARG1,
guillermo balzi,2001,ar ARG,MF,Newell's OB,22.0,False,2024,ARG1,
guillermo benitez,1993,ar ARG,DF,Huracán,30.0,False,2024,ARG1,
guillermo burdisso,1988,ar ARG,DF,Huracán,35.0,False,2024,ARG1,
guillermo enrique,2000,ar ARG,DF,Banfield,23.0,False,2024,ARG1,
guillermo matias fernandez,1991,ar ARG,MF,Boca Juniors,32.0,False,2024,ARG1,
guillermo may,1998,uy URU,FW,Newell's OB,25.0,False,2024,ARG1,
guillermo pereira,1994,ar ARG,MF,Deportivo Riestra,30.0,False,2024,ARG1,
gustavo albarracin,2006,ar ARG,MF,Talleres,17.0,False,2024,ARG1,
gustavo benitez,1986,ar ARG,DF,Deportivo Riestra,37.0,False,2024,ARG1,
gustavo bou,1990,ar ARG,FW,Talleres,33.0,False,2024,ARG1,
gustavo canto,1994,ar ARG,DF,Gimnasia–LP,29.0,False,2024,ARG1,
gustavo fernandez,1990,ar ARG,FW,Deportivo Riestra,33.0,False,2024,ARG1,
gustavo velasquez,1991,py PAR,DF,Newell's OB,32.0,False,2024,ARG1,
hector david martinez,1998,py PAR,DF,River Plate,26.0,False,2024,ARG1,
hector fertoli,1994,ar ARG,"MF,FW",Huracán,29.0,False,2024,ARG1,
hernan de la fuente,1997,ar ARG,DF,Huracán,27.0,False,2024,ARG1,
hernan galindez,1987,ec ECU,GK,Huracán,36.0,True,2024,ARG1,
ian glavinovich,2001,ar ARG,DF,Newell's OB,22.0,False,2024,ARG1,
ian subiabre,2007,ar ARG,MF,River Plate,17.0,False,2024,ARG1,
ignacio arce,1992,ar ARG,GK,Deportivo Riestra,31.0,True,2024,ARG1,
ignacio chicco,1996,ar ARG,GK,Belgrano,27.0,True,2024,ARG1,
ignacio fernandez,1990,ar ARG,"MF,FW",River Plate,34.0,False,2024,ARG1,
ignacio galvan,2002,ar ARG,DF,Racing Club,21.0,False,2024,ARG1,
ignacio maestro puch,2003,ar ARG,FW,Independiente,20.0,False,2024,ARG1,
ignacio miramon,2003,ar ARG,MF,Boca Juniors,20.0,False,2024,ARG1,
ignacio pussetto,1995,ar ARG,FW,Huracán,28.0,False,2024,ARG1,
ignacio rodriguez,2002,ar ARG,"MF,FW",Banfield,21.0,False,2024,ARG1,
ignacio russo,2000,ar ARG,FW,Instituto,23.0,False,2024,ARG1,
ignacio schor,2000,ar ARG,"FW,MF",Platense,23.0,False,2024,ARG1,
ignacio tapia,2004,ar ARG,MF,Belgrano,19.0,False,2024,ARG1,
ignacio vazquez,1997,ar ARG,DF,Platense,26.0,False,2024,ARG1,
iker muniain,1992,es ESP,"MF,FW",San Lorenzo,31.0,False,2024,ARG1,
iker zufiaurre,2005,ar ARG,MF,Boca Juniors,18.0,False,2024,ARG1,
imanol segovia,2001,ar ARG,DF,Ind. Rivadavia,22.0,False,2024,ARG1,
ivan buhajeruk,2000,ar ARG,FW,Deportivo Riestra,23.0,False,2024,ARG1,
ivan gomez,1997,ar ARG,"MF,FW",Platense,26.0,False,2024,ARG1,
ivan leguizamon,2002,py PAR,"FW,MF",San Lorenzo,21.0,False,2024,ARG1,
ivan marcone,1990,ar ARG,MF,Independiente,33.0,False,2024,ARG1,
ivan morales bravo,1999,cl CHI,FW,Sarmiento,24.0,False,2024,ARG1,
ivan pillud,1986,ar ARG,DF,Racing Club,37.0,False,2024,ARG1,
ivan tapia,1998,ar ARG,"MF,FW",Barracas Central,25.0,False,2024,ARG1,
ivan villalba,1995,py PAR,DF,Ind. Rivadavia,29.0,False,2024,ARG1,
jabes saralegui,2003,ar ARG,"MF,DF",Boca Juniors,21.0,False,2024,ARG1,
jalil elias,1996,sy SYR,MF,Vélez Sarsfield,27.0,False,2024,ARG1,
jaminton campaz,2000,co COL,"FW,MF",Rosario Central,23.0,False,2024,ARG1,
javier marcelo correa,1992,ar ARG,FW,Estudiantes–LP,31.0,False,2024,ARG1,
javier ruiz,2004,ar ARG,"MF,FW",Barracas Central,19.0,False,2024,ARG1,
javier urzua,1999,cl CHI,"MF,FW",Estudiantes–LP,24.0,False,2024,ARG1,
jeremias gallard,2004,ar ARG,FW,Talleres,19.0,False,2024,ARG1,
jeremias james,2001,ar ARG,DF,Deportivo Riestra,23.0,False,2024,ARG1,
jeremias lazaro,2004,ar ARG,"MF,FW",Instituto,19.0,False,2024,ARG1,
jeremias ledesma,1993,ar ARG,GK,River Plate,30.0,True,2024,ARG1,
jeremias lucco,2005,ar ARG,"FW,MF",Belgrano,18.0,False,2024,ARG1,
jeremias merlo,0,0,"FW,MF",Gimnasia–LP,0.0,False,2024,ARG1,
jeremias perez tica,2003,ar ARG,"FW,DF",Newell's OB,20.0,False,2024,ARG1,
jeronimo cacciabue,1998,ar ARG,MF,Newell's OB,26.0,False,2024,ARG1,
jeronimo domina,2005,ar ARG,"FW,MF",Unión,18.0,False,2024,ARG1,
jeronimo pourtau,2000,ar ARG,GK,Sarmiento,24.0,True,2024,ARG1,
jesus soraire,1988,ar ARG,MF,Banfield,35.0,False,2024,ARG1,
jhohan romana,1998,co COL,DF,San Lorenzo,25.0,False,2024,ARG1,
jhonatan candia,1995,uy URU,"FW,MF",Barracas Central,28.0,False,2024,ARG1,
jhonny quinonez,1998,ec ECU,MF,Independiente,25.0,False,2024,ARG1,
joaquin borja,2002,ar ARG,MF,Deportivo Riestra,22.0,False,2024,ARG1,
joaquin burgos,2004,ar ARG,FW,Estudiantes–LP,19.0,False,2024,ARG1,
joaquin garcia,2001,ar ARG,DF,Vélez Sarsfield,22.0,False,2024,ARG1,
joaquin gho,2003,ar ARG,"FW,MF",Sarmiento,20.0,False,2024,ARG1,
joaquin laso,1990,ar ARG,DF,Independiente,33.0,False,2024,ARG1,
joaquin mosqueira,2004,ar ARG,MF,Unión,19.0,False,2024,ARG1,
joaquin pereyra,1998,ar ARG,MF,Atlé Tucumán,25.0,False,2024,ARG1,
joaquin ruiz,2006,ar ARG,FW,Boca Juniors,17.0,False,2024,ARG1,
joel sonora,1996,us USA,DF,Ind. Rivadavia,27.0,False,2024,ARG1,
johan carbonero,1999,co COL,"FW,MF",Racing Club,24.0,False,2024,ARG1,
jonas acevedo,1997,ar ARG,"MF,FW",Instituto,26.0,False,2024,ARG1,
jonatan goitia,1994,ar ARG,"MF,DF",Deportivo Riestra,29.0,False,2024,ARG1,
jonathan bay,1993,ar ARG,DF,Instituto,30.0,False,2024,ARG1,
jonathan david gomez,1989,ar ARG,"MF,FW",Rosario Central,34.0,False,2024,ARG1,
jonathan de irastorza,2005,ar ARG,DF,Independiente,18.0,False,2024,ARG1,
jonathan galvan,1992,ar ARG,DF,Arg Juniors,31.0,False,2024,ARG1,
jonathan goya,1989,ar ARG,MF,Deportivo Riestra,34.0,False,2024,ARG1,
jonathan herrera,1991,ar ARG,FW,Deportivo Riestra,32.0,False,2024,ARG1,
jonathan torres,1996,ar ARG,"FW,MF",Lanús,27.0,False,2024,ARG1,
jorge broun,1986,ar ARG,GK,Rosario Central,37.0,True,2024,ARG1,
jorge figal,1994,ar ARG,DF,Boca Juniors,29.0,False,2024,ARG1,
jorge sanguina,1999,py PAR,FW,Ind. Rivadavia,24.0,False,2024,ARG1,
jorman campuzano,1996,co COL,DF,Boca Juniors,27.0,False,2024,ARG1,
jose dominguez,1996,py PAR,DF,Lanús,27.0,False,2024,ARG1,
jose florentin,1996,py PAR,MF,Cen. Córdoba–SdE,27.0,False,2024,ARG1,
jose gomez,2000,ar ARG,DF,Cen. Córdoba–SdE,23.0,False,2024,ARG1,
jose herrera,2003,ar ARG,"FW,MF",Arg Juniors,20.0,False,2024,ARG1,
jose mauri,1996,it ITA,MF,Sarmiento,27.0,False,2024,ARG1,
jose mendez,1993,ar ARG,"FW,MF",Deportivo Riestra,30.0,False,2024,ARG1,
jose sosa,1985,ar ARG,"FW,MF",Estudiantes–LP,38.0,False,2024,ARG1,
josue reinatti,2003,ar ARG,GK,Newell's OB,20.0,True,2024,ARG1,
juan alvarez,1996,ar ARG,"FW,DF",Banfield,27.0,False,2024,ARG1,
juan andrada,1995,ar ARG,MF,Sarmiento,29.0,False,2024,ARG1,
juan barinaga,2000,ar ARG,"DF,MF",Belgrano,23.0,False,2024,ARG1,
juan bautista cejas,1998,ar ARG,"FW,MF",Godoy Cruz,25.0,False,2024,ARG1,
juan bisanz,2001,ar ARG,"FW,MF",Banfield,22.0,False,2024,ARG1,
juan caceres,2000,py PAR,DF,Lanús,23.0,False,2024,ARG1,
juan camilo portilla,1998,co COL,MF,Talleres,25.0,False,2024,ARG1,
juan cardozo,2004,py PAR,MF,Arg Juniors,19.0,False,2024,ARG1,
juan cavallaro,1994,ar ARG,"FW,MF",Ind. Rivadavia,29.0,False,2024,ARG1,
juan cortazzo,2005,ar ARG,DF,Gimnasia–LP,18.0,False,2024,ARG1,
juan cozzani,1998,ar ARG,GK,Platense,25.0,True,2024,ARG1,
juan cruz komar,1996,ar ARG,DF,Rosario Central,27.0,False,2024,ARG1,
juan espinola,1994,py PAR,GK,Belgrano,29.0,True,2024,ARG1,
juan esquivel,2000,ar ARG,FW,Tigre,23.0,False,2024,ARG1,
juan fedorco,2000,ar ARG,DF,Independiente,23.0,False,2024,ARG1,
juan franco arrellaga,1992,py PAR,DF,Instituto,31.0,False,2024,ARG1,
juan gimenez,2006,ar ARG,DF,Rosario Central,17.0,False,2024,ARG1,
juan guasone,2001,it ITA,DF,Sarmiento,22.0,False,2024,ARG1,
juan hernandez,1997,uy URU,DF,Sarmiento,26.0,False,2024,ARG1,
juan ignacio mendez,1997,ar ARG,MF,Newell's OB,26.0,False,2024,ARG1,
juan ignacio ramirez,1997,uy URU,FW,Newell's OB,26.0,False,2024,ARG1,
juan infante,1996,ar ARG,DF,Atlé Tucumán,28.0,False,2024,ARG1,
juan iribarren,2003,ar ARG,DF,Banfield,21.0,False,2024,ARG1,
juan luduena,2003,ar ARG,DF,Unión,20.0,False,2024,ARG1,
juan manuel elordi,1994,ar ARG,"DF,MF",Racing Club,29.0,False,2024,ARG1,
juan manuel garcia,1992,ar ARG,FW,Newell's OB,31.0,False,2024,ARG1,
juan manuel insaurralde,1984,ar ARG,DF,Sarmiento,39.0,False,2024,ARG1,
juan meli,2000,ar ARG,"DF,MF",Cen. Córdoba–SdE,23.0,False,2024,ARG1,
juan miritello,1999,ar ARG,FW,Defensa y Just,24.0,False,2024,ARG1,
juan moran,2006,ar ARG,DF,Godoy Cruz,17.0,False,2024,ARG1,
juan nardoni,2002,ar ARG,MF,Racing Club,21.0,False,2024,ARG1,
juan pablo goicochea,2005,pe PER,FW,Platense,19.0,False,2024,ARG1,
juan perez,2004,co COL,MF,Godoy Cruz,19.0,False,2024,ARG1,
juan pignani,2001,ar ARG,DF,Platense,22.0,False,2024,ARG1,
juan pintado,1994,uy URU,"DF,MF",Gimnasia–LP,29.0,False,2024,ARG1,
juan portillo,2000,ar ARG,"DF,MF",Talleres,23.0,False,2024,ARG1,
juan quintana,2000,uy URU,"DF,MF",Banfield,24.0,False,2024,ARG1,
juan quintero,1993,co COL,"MF,FW",Racing Club,31.0,False,2024,ARG1,
juan rodriguez,1994,ar ARG,DF,Talleres,29.0,False,2024,ARG1,
juan saborido,1998,ar ARG,DF,Platense,25.0,False,2024,ARG1,
juan velazquez,2004,ar ARG,"DF,MF",Belgrano,19.0,False,2024,ARG1,
julian ceballos,2004,ar ARG,MF,Boca Juniors,19.0,False,2024,ARG1,
julian eseiza,2002,ar ARG,FW,Godoy Cruz,21.0,False,2024,ARG1,
julian fernandez,1995,ar ARG,MF,Newell's OB,28.0,False,2024,ARG1,
julian lopez,2000,ar ARG,MF,Defensa y Just,24.0,False,2024,ARG1,
julio soler,2005,ar ARG,DF,Lanús,18.0,False,2024,ARG1,
justo giani,1999,ar ARG,"MF,FW",Atlé Tucumán,24.0,False,2024,ARG1,
kevin coronel,2004,ar ARG,DF,Arg Juniors,19.0,False,2024,ARG1,
kevin facundo gutierrez,1997,ar ARG,MF,Defensa y Just,26.0,False,2024,ARG1,
kevin lomonaco,2002,ar ARG,DF,Tigre,22.0,False,2024,ARG1,
kevin lopez,2001,ar ARG,"MF,FW",Defensa y Just,22.0,False,2024,ARG1,
kevin mantilla,2003,co COL,DF,Talleres,20.0,False,2024,ARG1,
kevin ortiz,2000,ar ARG,MF,Rosario Central,23.0,False,2024,ARG1,
kevin silva,2003,ar ARG,DF,Rosario Central,20.0,False,2024,ARG1,
kevin vazquez,2001,ar ARG,MF,Cen. Córdoba–SdE,22.0,False,2024,ARG1,
kevin zenon,2001,ar ARG,"MF,FW",Boca Juniors,22.0,False,2024,ARG1,
laurtaro giaccone,2001,ar ARG,"FW,MF",Rosario Central,22.0,False,2024,ARG1,
lautaro acosta,1988,ar ARG,"MF,FW",Lanús,35.0,False,2024,ARG1,
lautaro blanco,1999,ar ARG,DF,Boca Juniors,24.0,False,2024,ARG1,
lautaro bursich,2002,ar ARG,GK,Cen. Córdoba–SdE,21.0,True,2024,ARG1,
lautaro cardozo,2002,ar ARG,DF,Banfield,22.0,False,2024,ARG1,
lautaro carrera,2003,ar ARG,DF,Instituto,20.0,False,2024,ARG1,
lautaro chavez,2001,ar ARG,FW,Gimnasia–LP,23.0,False,2024,ARG1,
lautaro di lollo,2004,ar ARG,DF,Boca Juniors,19.0,False,2024,ARG1,
lautaro garzon,2003,ar ARG,GK,Vélez Sarsfield,20.0,True,2024,ARG1,
lautaro godoy,2003,py PAR,MF,Atlé Tucumán,20.0,False,2024,ARG1,
lautaro gomez,2003,ar ARG,FW,Banfield,20.0,False,2024,ARG1,
lautaro millan,2005,cl CHI,MF,Independiente,18.0,False,2024,ARG1,
lautaro morales,1999,ar ARG,GK,Talleres,24.0,True,2024,ARG1,
lautaro rios,2000,ar ARG,MF,Ind. Rivadavia,23.0,False,2024,ARG1,
lautaro rivero,2003,ar ARG,DF,Cen. Córdoba–SdE,20.0,False,2024,ARG1,
lautaro vargas,2005,ar ARG,DF,Unión,18.0,False,2024,ARG1,
lautaro villegas,2003,ar ARG,MF,Banfield,20.0,False,2024,ARG1,
leandro brey,2002,ar ARG,GK,Boca Juniors,21.0,True,2024,ARG1,
leandro contin,1995,ar ARG,FW,Tigre,28.0,False,2024,ARG1,
leandro diaz,1992,ar ARG,"FW,MF",Lanús,31.0,False,2024,ARG1,
leandro garate,1993,ar ARG,"FW,MF",Banfield,30.0,False,2024,ARG1,
leandro gonzalez pirez,1992,ar ARG,DF,River Plate,31.0,False,2024,ARG1,
leandro mamut,2003,ar ARG,MF,Gimnasia–LP,20.0,False,2024,ARG1,
leandro olima,0,0,MF,Atlé Tucumán,0.0,False,2024,ARG1,
lenny lobato,2001,br BRA,"FW,MF",Vélez Sarsfield,22.0,False,2024,ARG1,
leonardo heredia,1996,ar ARG,"FW,MF",Arg Juniors,28.0,False,2024,ARG1,
leonardo jara,1991,ar ARG,DF,Lanús,32.0,False,2024,ARG1,
leonardo landriel,1996,ar ARG,MF,Deportivo Riestra,27.0,False,2024,ARG1,
leonardo marchi,1996,ar ARG,DF,Cen. Córdoba–SdE,27.0,False,2024,ARG1,
leonardo morales,1991,ar ARG,DF,Gimnasia–LP,32.0,False,2024,ARG1,
leonardo sigali,1987,ar ARG,DF,Racing Club,36.0,False,2024,ARG1,
leonel cardozo,2004,ar ARG,DF,Lanús,20.0,False,2024,ARG1,
leonel miranda,1994,ar ARG,MF,Tigre,30.0,False,2024,ARG1,
leonel picco,1999,ar ARG,MF,Platense,24.0,False,2024,ARG1,
leonel roldan,2004,ar ARG,MF,Vélez Sarsfield,19.0,False,2024,ARG1,
leonel vangioni,1987,ar ARG,DF,Newell's OB,36.0,False,2024,ARG1,
lionel verde,2004,ar ARG,MF,Unión,19.0,False,2024,ARG1,
lisandro lopez,1983,ar ARG,"FW,MF",Sarmiento,40.0,False,2024,ARG1,
lisandro montenegro,2003,ar ARG,"MF,DF",Platense,20.0,False,2024,ARG1,
lisandro pinero,2007,ar ARG,FW,Banfield,16.0,False,2024,ARG1,
lorenzo scipioni,2004,ar ARG,MF,Tigre,19.0,False,2024,ARG1,
luca langoni,2002,ar ARG,FW,Boca Juniors,21.0,False,2024,ARG1,
luca martinez,2001,mx MEX,FW,Rosario Central,23.0,False,2024,ARG1,
luca raffin,2006,py PAR,DF,Rosario Central,18.0,False,2024,ARG1,
luca regiardo,2006,ar ARG,MF,Newell's OB,17.0,False,2024,ARG1,
lucas abascia,1995,ar ARG,DF,Cen. Córdoba–SdE,28.0,False,2024,ARG1,
lucas acosta,1995,ar ARG,GK,Sarmiento,28.0,True,2024,ARG1,
lucas ambrogio,1999,ar ARG,"FW,MF",Atlé Tucumán,24.0,False,2024,ARG1,
lucas arce,1997,ar ARG,DF,Godoy Cruz,26.0,False,2024,ARG1,
lucas banos,2005,ar ARG,DF,Newell's OB,18.0,False,2024,ARG1,
lucas bernabeu,2004,ar ARG,DF,Belgrano,20.0,False,2024,ARG1,
lucas besozzi,2003,ar ARG,"FW,MF",Newell's OB,21.0,False,2024,ARG1,
lucas brochero,1999,ar ARG,"DF,FW",Barracas Central,25.0,False,2024,ARG1,
lucas bustos,2005,ar ARG,MF,Belgrano,18.0,False,2024,ARG1,
lucas carrizo,1997,ar ARG,DF,Huracán,26.0,False,2024,ARG1,
lucas castro,1989,ar ARG,MF,Gimnasia–LP,34.0,False,2024,ARG1,
lucas faggioli,1997,ar ARG,DF,Barracas Central,26.0,False,2024,ARG1,
lucas ferreira,2000,uy URU,DF,Defensa y Just,23.0,False,2024,ARG1,
lucas gamba,1987,ar ARG,"FW,MF",Unión,36.0,False,2024,ARG1,
lucas gomez,2004,ar ARG,MF,Arg Juniors,19.0,False,2024,ARG1,
lucas gonzalez,2000,ar ARG,"MF,FW",Independiente,23.0,False,2024,ARG1,
lucas hoyos,1989,ar ARG,GK,Newell's OB,34.0,True,2024,ARG1,
lucas irusta,2003,ar ARG,DF,Lanús,21.0,False,2024,ARG1,
lucas janson,1994,ar ARG,"FW,MF",Boca Juniors,29.0,False,2024,ARG1,
lucas menossi,1992,ar ARG,MF,Belgrano,31.0,False,2024,ARG1,
lucas mihovilcevich,2004,ar ARG,DF,Newell's OB,20.0,False,2024,ARG1,
lucas ocampo,1997,uy URU,"MF,FW",Platense,26.0,False,2024,ARG1,
lucas rodriguez,1993,ar ARG,DF,Instituto,30.0,False,2024,ARG1,
lucas souto,1998,ar ARG,DF,Huracán,25.0,False,2024,ARG1,
lucas suarez,1995,ar ARG,DF,Talleres,28.0,False,2024,ARG1,
lucas varaldo,2002,ar ARG,FW,Cen. Córdoba–SdE,21.0,False,2024,ARG1,
luciano abecasis,1990,ar ARG,DF,Ind. Rivadavia,33.0,False,2024,ARG1,
luciano boggio,1999,it ITA,MF,Lanús,24.0,False,2024,ARG1,
luciano cingolani,2001,ar ARG,MF,Godoy Cruz,22.0,False,2024,ARG1,
luciano ferreyra,2002,ar ARG,MF,Platense,21.0,False,2024,ARG1,
luciano gimenez,2000,ar ARG,"FW,MF",Estudiantes–LP,23.0,False,2024,ARG1,
luciano gomez,1996,ar ARG,DF,Ind. Rivadavia,27.0,False,2024,ARG1,
luciano gondou,2001,ar ARG,FW,Arg Juniors,22.0,False,2024,ARG1,
luciano lollo,1987,ar ARG,DF,Estudiantes–LP,36.0,False,2024,ARG1,
luciano ramon herrera,1996,ar ARG,"FW,MF",Defensa y Just,27.0,False,2024,ARG1,
luciano recalde,1995,ar ARG,DF,Banfield,28.0,False,2024,ARG1,
luciano vietto,1993,ar ARG,"FW,MF",Racing Club,30.0,False,2024,ARG1,
luis advincula,1990,pe PER,DF,Boca Juniors,33.0,False,2024,ARG1,
luis angulo,2004,co COL,"MF,FW",Platense,19.0,False,2024,ARG1,
luis ingolotti,2000,ar ARG,GK,Cen. Córdoba–SdE,24.0,True,2024,ARG1,
luis miguel rodriguez,1985,ar ARG,"FW,MF",Atlé Tucumán,39.0,False,2024,ARG1,
luis sanchez,2000,co COL,"MF,FW",Cen. Córdoba–SdE,23.0,False,2024,ARG1,
luis sequeira,2003,ar ARG,MF,Ind. Rivadavia,21.0,False,2024,ARG1,
maher carrizo,2006,ar ARG,"FW,MF",Vélez Sarsfield,17.0,False,2024,ARG1,
malcom braida,1997,ar ARG,DF,San Lorenzo,26.0,False,2024,ARG1,
manuel agustin duarte,2001,ar ARG,"MF,FW",Barracas Central,22.0,False,2024,ARG1,
manuel garcia,1999,ar ARG,MF,Sarmiento,24.0,False,2024,ARG1,
manuel guillen,2001,ar ARG,"DF,FW",Godoy Cruz,22.0,False,2024,ARG1,
manuel lanzini,1993,ar ARG,"MF,FW",River Plate,30.0,False,2024,ARG1,
manuel monaco,2002,ar ARG,"MF,FW",Sarmiento,21.0,False,2024,ARG1,
manuel palavecino,2003,ar ARG,"MF,FW",Cen. Córdoba–SdE,21.0,False,2024,ARG1,
manuel panaro miramon,2002,ar ARG,"FW,DF",Gimnasia–LP,21.0,False,2024,ARG1,
manuel roffo,2000,ar ARG,GK,Instituto,23.0,True,2024,ARG1,
manuel tucker,2004,ar ARG,MF,Platense,19.0,False,2024,ARG1,
marcelino moreno,1994,ar ARG,"MF,FW",Lanús,29.0,False,2024,ARG1,
marcelo barovero,1984,ar ARG,GK,Banfield,39.0,True,2024,ARG1,
marcelo estigarribia,1995,ar ARG,FW,Atlé Tucumán,28.0,False,2024,ARG1,
marcelo mino,1997,ar ARG,GK,Barracas Central,26.0,True,2024,ARG1,
marcelo perez,2001,py PAR,FW,Huracán,22.0,False,2024,ARG1,
marcelo saracchi,1998,uy URU,"DF,MF",Boca Juniors,25.0,False,2024,ARG1,
marco di cesare,2002,ar ARG,DF,Racing Club,22.0,False,2024,ARG1,
marco iacobellis,2000,ar ARG,"FW,MF",Barracas Central,23.0,False,2024,ARG1,
marco pellegrino,2002,ar ARG,DF,Independiente,21.0,False,2024,ARG1,
